,Team,Match Up,Game Date,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,a.Team,a.Match Up,a.Game Date,a.W/L,a.PTS,a.FGM,a.FGA,a.FG%,a.3PM,a.3PA,a.3P%,a.FTM,a.FTA,a.FT%,a.OREB,a.DREB,a.REB,a.AST,a.STL,a.BLK,a.TOV,a.PF,a.+/-
0,GSW,GSW vs. NOP,03/28/2023,W,120,43,82,52.4,18,40,45.0,16,22,72.7,11,30,41,32,11,4,19,18,11,NOP,NOP @ GSW,03/28/2023,L,109,42,90,46.7,12,27,44.4,13,14,92.9,11,30,41,30,6,4,19,18,-11
1,OKC,OKC vs. CHA,03/28/2023,L,134,50,96,52.1,11,30,36.7,23,29,79.3,7,32,39,25,11,3,11,21,-3,CHA,CHA @ OKC,03/28/2023,W,137,52,94,55.3,14,35,40.0,19,30,63.3,15,37,52,34,6,7,18,24,3
2,MEM,MEM vs. ORL,03/28/2023,W,113,42,88,47.7,12,34,35.3,17,23,73.9,7,42,49,26,11,6,17,17,5,ORL,ORL @ MEM,03/28/2023,L,108,41,100,41.0,14,49,28.6,12,15,80.0,8,39,47,24,9,8,16,15,-5
3,ATL,ATL vs. CLE,03/28/2023,W,120,41,89,46.1,12,27,44.4,26,33,78.8,14,37,51,25,5,3,15,16,2,CLE,CLE @ ATL,03/28/2023,L,118,47,93,50.5,9,25,36.0,15,22,68.2,10,30,40,20,5,6,8,24,-2
4,TOR,TOR vs. MIA,03/28/2023,W,106,45,93,48.4,8,36,22.2,8,9,88.9,15,32,47,32,8,7,9,13,14,MIA,MIA @ TOR,03/28/2023,L,92,32,80,40.0,10,33,30.3,18,19,94.7,12,31,43,18,6,3,16,10,-14
5,WAS,WAS vs. BOS,03/28/2023,W,130,54,99,54.5,13,37,35.1,9,13,69.2,6,37,43,33,7,3,11,13,19,BOS,BOS @ WAS,03/28/2023,L,111,45,93,48.4,11,44,25.0,10,11,90.9,7,31,38,29,5,8,12,14,-19
6,UTA,UTA vs. PHX,03/27/2023,L,103,38,86,44.2,9,36,25.0,18,27,66.7,10,37,47,25,2,7,13,19,-14,PHX,PHX @ UTA,03/27/2023,W,117,43,101,42.6,11,36,30.6,20,22,90.9,18,31,49,31,7,7,7,20,14
7,IND,IND vs. DAL,03/27/2023,L,104,39,93,41.9,8,28,28.6,18,23,78.3,14,29,43,20,6,3,14,19,-23,DAL,DAL @ IND,03/27/2023,W,127,47,83,56.6,18,37,48.6,15,17,88.2,4,29,33,29,7,8,13,23,23
8,DET,DET vs. MIL,03/27/2023,L,117,41,92,44.6,7,24,29.2,28,36,77.8,14,33,47,22,5,0,10,20,-9,MIL,MIL @ DET,03/27/2023,W,126,45,95,47.4,14,45,31.1,22,26,84.6,15,35,50,28,5,4,9,23,9
9,NYK,NYK vs. HOU,03/27/2023,W,137,50,86,58.1,17,39,43.6,20,28,71.4,7,32,39,35,11,8,11,20,22,HOU,HOU @ NYK,03/27/2023,L,115,42,87,48.3,7,26,26.9,24,29,82.8,13,27,40,24,6,4,14,18,-22
10,DEN,DEN vs. PHI,03/27/2023,W,116,43,85,50.6,11,32,34.4,19,22,86.4,10,32,42,34,8,4,12,16,5,PHI,PHI @ DEN,03/27/2023,L,111,43,89,48.3,8,30,26.7,17,22,77.3,11,29,40,18,10,3,11,20,-5
11,POR,POR vs. NOP,03/27/2023,L,90,35,90,38.9,7,33,21.2,13,15,86.7,6,23,29,15,6,2,12,16,-34,NOP,NOP @ POR,03/27/2023,W,124,49,86,57.0,12,28,42.9,14,17,82.4,8,45,53,31,5,6,17,16,34
12,SAC,SAC vs. MIN,03/27/2023,L,115,39,84,46.4,5,27,18.5,32,40,80.0,12,30,42,16,4,4,10,23,-4,MIN,MIN @ SAC,03/27/2023,W,119,44,86,51.2,9,24,37.5,22,34,64.7,11,29,40,33,6,3,6,27,4
13,LAC,LAC vs. CHI,03/27/2023,W,124,48,81,59.3,20,40,50.0,8,16,50.0,6,31,37,41,10,4,18,17,12,CHI,CHI @ LAC,03/27/2023,L,112,44,82,53.7,9,23,39.1,15,21,71.4,8,26,34,26,9,3,15,11,-12
14,GSW,GSW vs. MIN,03/26/2023,L,96,34,82,41.5,15,40,37.5,13,17,76.5,6,31,37,25,9,2,16,19,-3,MIN,MIN @ GSW,03/26/2023,W,99,34,80,42.5,17,40,42.5,14,25,56.0,9,40,49,25,10,2,17,20,3
15,POR,POR vs. OKC,03/26/2023,L,112,39,82,47.6,14,32,43.8,20,27,74.1,8,29,37,18,5,7,18,22,-6,OKC,OKC @ POR,03/26/2023,W,118,41,94,43.6,12,35,34.3,24,28,85.7,13,29,42,23,13,2,11,19,6
16,CLE,CLE vs. HOU,03/26/2023,W,108,39,83,47.0,9,30,30.0,21,24,87.5,13,28,41,20,5,7,11,16,17,HOU,HOU @ CLE,03/26/2023,L,91,35,80,43.8,6,25,24.0,15,18,83.3,12,24,36,20,6,1,19,22,-17
17,TOR,TOR vs. WAS,03/26/2023,W,114,45,98,45.9,11,31,35.5,13,16,81.3,18,35,53,22,13,6,13,19,10,WAS,WAS @ TOR,03/26/2023,L,104,38,86,44.2,16,36,44.4,12,20,60.0,12,33,45,25,6,2,18,12,-10
18,ORL,ORL vs. BKN,03/26/2023,W,119,45,85,52.9,7,22,31.8,22,28,78.6,9,38,47,30,7,3,11,21,13,BKN,BKN @ ORL,03/26/2023,L,106,37,91,40.7,8,35,22.9,24,28,85.7,15,29,44,17,7,8,15,20,-13
19,ATL,ATL vs. MEM,03/26/2023,L,119,45,98,45.9,7,31,22.6,22,26,84.6,14,34,48,27,4,5,10,15,-4,MEM,MEM @ ATL,03/26/2023,W,123,48,89,53.9,13,33,39.4,14,19,73.7,6,33,39,28,8,7,11,22,4
20,LAL,LAL vs. CHI,03/26/2023,L,108,38,75,50.7,13,36,36.1,19,28,67.9,8,30,38,24,5,4,18,18,-10,CHI,CHI @ LAL,03/26/2023,W,118,47,87,54.0,14,31,45.2,10,13,76.9,8,34,42,32,8,2,9,23,10
21,BOS,BOS vs. SAS,03/26/2023,W,137,52,91,57.1,18,44,40.9,15,21,71.4,9,52,61,29,4,11,15,18,44,SAS,SAS @ BOS,03/26/2023,L,93,36,97,37.1,8,36,22.2,13,18,72.2,3,35,38,22,7,0,10,16,-44
22,CHA,CHA vs. DAL,03/26/2023,W,110,39,88,44.3,12,29,41.4,20,24,83.3,14,44,58,27,6,2,14,18,6,DAL,DAL @ CHA,03/26/2023,L,104,32,84,38.1,19,49,38.8,21,22,95.5,3,34,37,18,8,7,8,24,-6
23,MIA,MIA vs. BKN,03/25/2023,L,100,38,80,47.5,12,30,40.0,12,14,85.7,8,24,32,22,5,4,14,19,-29,BKN,BKN @ MIA,03/25/2023,W,129,44,89,49.4,18,40,45.0,23,25,92.0,17,28,45,30,6,6,8,18,29
24,DEN,DEN vs. MIL,03/25/2023,W,129,47,89,52.8,15,36,41.7,20,28,71.4,7,41,48,28,4,3,12,18,23,MIL,MIL @ DEN,03/25/2023,L,106,39,88,44.3,9,36,25.0,19,21,90.5,4,36,40,26,7,2,10,19,-23
25,LAC,LAC vs. NOP,03/25/2023,L,110,39,75,52.0,15,33,45.5,17,21,81.0,2,29,31,29,9,6,20,14,-21,NOP,NOP @ LAC,03/25/2023,W,131,51,96,53.1,21,34,61.8,8,9,88.9,12,33,45,36,11,3,16,21,21
26,PHX,PHX vs. PHI,03/25/2023,W,125,47,93,50.5,15,32,46.9,16,19,84.2,13,32,45,35,4,9,8,22,20,PHI,PHI @ PHX,03/25/2023,L,105,34,78,43.6,13,31,41.9,24,27,88.9,8,28,36,21,3,7,13,16,-20
27,SAC,SAC vs. UTA,03/25/2023,W,121,44,95,46.3,16,43,37.2,17,21,81.0,14,28,42,30,11,1,9,13,8,UTA,UTA @ SAC,03/25/2023,L,113,47,91,51.6,9,28,32.1,10,16,62.5,11,34,45,30,3,7,17,14,-8
28,ATL,ATL vs. IND,03/25/2023,W,143,53,96,55.2,15,30,50.0,22,25,88.0,15,27,42,33,10,8,13,14,13,IND,IND @ ATL,03/25/2023,L,130,52,96,54.2,14,37,37.8,12,12,100.0,10,22,32,33,7,7,17,18,-13
29,BOS,BOS vs. IND,03/24/2023,W,120,44,93,47.3,18,42,42.9,14,19,73.7,9,40,49,28,11,6,15,15,25,IND,IND @ BOS,03/24/2023,L,95,39,84,46.4,4,26,15.4,13,22,59.1,6,38,44,24,9,4,17,16,-25
30,SAC,SAC vs. PHX,03/24/2023,W,135,47,89,52.8,13,39,33.3,28,32,87.5,5,28,33,29,6,3,4,23,8,PHX,PHX @ SAC,03/24/2023,L,127,48,89,53.9,9,29,31.0,22,29,75.9,12,31,43,33,2,7,12,25,-8
31,GSW,GSW vs. PHI,03/24/2023,W,120,42,88,47.7,18,50,36.0,18,24,75.0,10,39,49,27,3,0,11,21,8,PHI,PHI @ GSW,03/24/2023,L,112,38,78,48.7,8,29,27.6,28,34,82.4,4,34,38,23,8,1,10,20,-8
32,MEM,MEM vs. HOU,03/24/2023,W,151,57,93,61.3,25,42,59.5,12,14,85.7,5,30,35,36,12,7,11,19,37,HOU,HOU @ MEM,03/24/2023,L,114,47,87,54.0,7,23,30.4,13,21,61.9,10,28,38,25,7,3,16,14,-37
33,TOR,TOR vs. DET,03/24/2023,W,118,41,92,44.6,13,37,35.1,23,29,79.3,15,31,46,25,12,9,11,24,21,DET,DET @ TOR,03/24/2023,L,97,34,73,46.6,6,25,24.0,23,30,76.7,8,31,39,23,8,4,22,18,-21
34,UTA,UTA vs. MIL,03/24/2023,L,116,40,104,38.5,11,40,27.5,25,34,73.5,20,31,51,28,6,5,11,15,-28,MIL,MIL @ UTA,03/24/2023,W,144,55,99,55.6,22,50,44.0,12,16,75.0,9,41,50,42,6,11,13,20,28
35,DAL,DAL vs. CHA,03/24/2023,L,109,41,84,48.8,9,36,25.0,18,24,75.0,7,38,45,25,3,4,11,19,-8,CHA,CHA @ DAL,03/24/2023,W,117,43,89,48.3,11,28,39.3,20,27,74.1,6,37,43,32,7,4,8,17,8
36,WAS,WAS vs. SAS,03/24/2023,W,136,51,85,60.0,15,30,50.0,19,26,73.1,6,37,43,29,3,8,10,16,12,SAS,SAS @ WAS,03/24/2023,L,124,51,101,50.5,13,38,34.2,9,15,60.0,11,30,41,35,4,4,5,21,-12
37,POR,POR vs. CHI,03/24/2023,L,96,37,86,43.0,6,31,19.4,16,18,88.9,8,23,31,23,10,5,14,14,-28,CHI,CHI @ POR,03/24/2023,W,124,48,84,57.1,17,28,60.7,11,14,78.6,11,36,47,33,6,8,17,19,28
38,LAL,LAL vs. OKC,03/24/2023,W,116,42,91,46.2,12,34,35.3,20,28,71.4,16,37,53,20,9,4,11,14,5,OKC,OKC @ LAL,03/24/2023,L,111,40,92,43.5,14,36,38.9,17,19,89.5,12,33,45,21,6,5,10,19,-5
39,ORL,ORL vs. NYK,03/23/2023,W,111,40,87,46.0,13,32,40.6,18,21,85.7,8,35,43,25,8,7,16,19,5,NYK,NYK @ ORL,03/23/2023,L,106,37,88,42.0,12,40,30.0,20,26,76.9,13,31,44,26,8,8,13,15,-5
40,BKN,BKN vs. CLE,03/23/2023,L,114,39,81,48.1,12,34,35.3,24,27,88.9,9,33,42,24,7,7,16,21,-2,CLE,CLE @ BKN,03/23/2023,W,116,42,89,47.2,12,32,37.5,20,26,76.9,13,27,40,24,7,7,10,21,2
41,NOP,NOP vs. CHA,03/23/2023,W,115,45,98,45.9,11,34,32.4,14,15,93.3,11,41,52,26,11,0,11,14,19,CHA,CHA @ NOP,03/23/2023,L,96,38,83,45.8,9,37,24.3,11,16,68.8,4,34,38,24,8,4,17,17,-19
42,LAC,LAC vs. OKC,03/23/2023,W,127,47,84,56.0,18,37,48.6,15,20,75.0,8,34,42,34,9,5,15,9,22,OKC,OKC @ LAC,03/23/2023,L,105,41,93,44.1,13,39,33.3,10,11,90.9,13,27,40,24,6,3,14,20,-22
43,WAS,WAS vs. DEN,03/22/2023,L,104,44,87,50.6,4,26,15.4,12,16,75.0,10,27,37,20,4,4,7,15,-14,DEN,DEN @ WAS,03/22/2023,W,118,42,83,50.6,15,32,46.9,19,21,90.5,11,30,41,28,7,2,10,18,14
44,LAL,LAL vs. PHX,03/22/2023,W,122,39,70,55.7,8,17,47.1,36,46,78.3,5,31,36,27,7,2,15,20,11,PHX,PHX @ LAL,03/22/2023,L,111,42,90,46.7,12,31,38.7,15,20,75.0,12,27,39,23,7,6,17,31,-11
45,UTA,UTA vs. POR,03/22/2023,L,115,39,82,47.6,11,35,31.4,26,36,72.2,7,40,47,24,4,5,17,21,-12,POR,POR @ UTA,03/22/2023,W,127,45,93,48.4,13,41,31.7,24,30,80.0,7,36,43,28,9,5,9,24,12
46,CHI,CHI vs. PHI,03/22/2023,L,91,34,83,41.0,6,25,24.0,17,22,77.3,15,27,42,18,7,4,19,16,-25,PHI,PHI @ CHI,03/22/2023,W,116,39,82,47.6,16,37,43.2,22,26,84.6,11,33,44,30,9,4,18,22,25
47,DAL,DAL vs. GSW,03/22/2023,L,125,44,89,49.4,17,40,42.5,20,28,71.4,8,23,31,27,7,2,10,17,-2,GSW,GSW @ DAL,03/22/2023,W,127,50,90,55.6,12,39,30.8,15,18,83.3,11,33,44,33,7,5,13,20,2
48,MIA,MIA vs. NYK,03/22/2023,W,127,45,79,57.0,16,28,57.1,21,26,80.8,2,27,29,28,9,1,10,18,7,NYK,NYK @ MIA,03/22/2023,L,120,42,82,51.2,16,40,40.0,20,25,80.0,9,33,42,29,7,5,17,25,-7
49,MIN,MIN vs. ATL,03/22/2023,W,125,45,92,48.9,11,26,42.3,24,29,82.8,11,31,42,27,7,3,11,20,1,ATL,ATL @ MIN,03/22/2023,L,124,45,85,52.9,12,26,46.2,22,25,88.0,9,32,41,28,6,6,17,25,-1
50,MEM,MEM vs. HOU,03/22/2023,W,130,45,87,51.7,12,36,33.3,28,33,84.8,12,24,36,27,8,4,11,21,5,HOU,HOU @ MEM,03/22/2023,L,125,48,93,51.6,12,33,36.4,17,23,73.9,20,28,48,27,6,3,16,25,-5
51,MIL,MIL vs. SAS,03/22/2023,W,130,51,98,52.0,15,43,34.9,13,24,54.2,10,44,54,24,10,4,15,14,36,SAS,SAS @ MIL,03/22/2023,L,94,36,93,38.7,9,39,23.1,13,20,65.0,8,38,46,26,7,6,19,21,-36
52,TOR,TOR vs. IND,03/22/2023,L,114,39,89,43.8,7,34,20.6,29,39,74.4,13,27,40,21,11,7,10,22,-4,IND,IND @ TOR,03/22/2023,W,118,43,77,55.8,11,21,52.4,21,25,84.0,8,31,39,27,4,5,18,29,4
53,LAC,LAC vs. OKC,03/21/2023,L,100,41,86,47.7,6,31,19.4,12,21,57.1,12,34,46,21,9,2,14,21,-1,OKC,OKC @ LAC,03/21/2023,W,101,39,93,41.9,10,37,27.0,13,14,92.9,12,35,47,19,2,4,12,21,1
54,SAC,SAC vs. BOS,03/21/2023,L,109,39,81,48.1,17,44,38.6,14,21,66.7,10,32,42,25,3,4,14,19,-23,BOS,BOS @ SAC,03/21/2023,W,132,49,92,53.3,18,44,40.9,16,23,69.6,11,32,43,33,9,3,6,15,23
55,ORL,ORL vs. WAS,03/21/2023,W,122,43,80,53.8,12,27,44.4,24,25,96.0,7,35,42,27,7,5,16,21,10,WAS,WAS @ ORL,03/21/2023,L,112,42,83,50.6,10,32,31.3,18,23,78.3,4,29,33,30,7,4,14,23,-10
56,NOP,NOP vs. SAS,03/21/2023,W,119,45,81,55.6,10,24,41.7,19,23,82.6,5,44,49,31,8,2,16,19,35,SAS,SAS @ NOP,03/21/2023,L,84,30,87,34.5,13,41,31.7,11,19,57.9,10,27,37,22,8,3,16,19,-35
57,ATL,ATL vs. DET,03/21/2023,W,129,44,95,46.3,14,38,36.8,27,36,75.0,21,40,61,26,5,6,11,20,22,DET,DET @ ATL,03/21/2023,L,107,37,91,40.7,13,40,32.5,20,24,83.3,9,26,35,20,8,2,10,26,-22
58,BKN,BKN vs. CLE,03/21/2023,L,109,41,92,44.6,9,33,27.3,18,23,78.3,19,30,49,25,6,5,17,19,-6,CLE,CLE @ BKN,03/21/2023,W,115,42,83,50.6,14,29,48.3,17,21,81.0,8,26,34,23,6,3,14,20,6
59,HOU,HOU vs. GSW,03/20/2023,L,108,39,93,41.9,10,36,27.8,20,24,83.3,13,28,41,14,14,2,18,14,-13,GSW,GSW @ HOU,03/20/2023,W,121,44,88,50.0,17,48,35.4,16,19,84.2,16,32,48,31,12,6,20,14,13
60,UTA,UTA vs. SAC,03/20/2023,W,128,46,88,52.3,16,36,44.4,20,23,87.0,6,42,48,33,3,8,12,23,8,SAC,SAC @ UTA,03/20/2023,L,120,41,97,42.3,19,52,36.5,19,25,76.0,8,35,43,28,5,3,6,20,-8
61,CHA,CHA vs. IND,03/20/2023,W,115,41,90,45.6,10,31,32.3,23,32,71.9,10,27,37,26,12,6,11,22,6,IND,IND @ CHA,03/20/2023,L,109,37,82,45.1,9,26,34.6,26,34,76.5,13,35,48,27,5,6,22,26,-6
62,MEM,MEM vs. DAL,03/20/2023,W,112,41,89,46.1,10,35,28.6,20,26,76.9,17,33,50,21,5,3,11,18,4,DAL,DAL @ MEM,03/20/2023,L,108,39,84,46.4,11,36,30.6,19,20,95.0,8,29,37,22,5,4,12,19,-4
63,NYK,NYK vs. MIN,03/20/2023,L,134,48,85,56.5,14,28,50.0,24,28,85.7,7,27,34,26,7,3,17,22,-6,MIN,MIN @ NYK,03/20/2023,W,140,51,83,61.4,14,24,58.3,24,32,75.0,7,27,34,34,9,4,15,24,6
